procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 141536 1737640 3850820    0    0   230   247  519 1931 14  5 75  6  0
 0  0      0 140668 1737756 3851100    0    0     0   296  430 1727  2  1 90  7  0
 0  2      0 139800 1737872 3851260    0    0     0   232  310 1466  2  1 94  3  0
 0  2      0 138436 1737936 3851172    0    0     0   140 1318 3762  5  3 91  2  0
 0  2      0 137320 1738044 3851456    0    0     0   788 1133 2660  3  2 89  6  0
 1  0      0 135460 1738140 3851648    0    0     0   292 1350 4829  6  3 91  1  0
 0  0      0 134964 1738140 3851784    0    0     0     0 1604 4505  5  3 92  0  0
 0  2      0 133972 1738172 3851620    0    0     0   360 1349 3367  4  2 93  2  0
 0  0      0 164496 1738176 3855900    0    0     0    12 1635 4416  6  2 75 17  0
 0  0      0 163380 1739188 3856316    0    0  1160     0 1158 2211  3  2 93  1  0
 0  0      0 171944 1739188 3856648    0    0     0     0 1040 1893  3  2 96  0  0
 0  0      0 173060 1739188 3856088    0    0     0     0  922 1347  2  1 98  0  0
 0  0      0 172900 1739188 3856780    0    0     0     0  382 1218  3  0 97  0  0
 1  0      0 172936 1739188 3856636    0    0     0     0  504 1570  2  1 97  0  0
 0  0      0 172440 1739216 3856828    0    0     0    56 1819 4364  7  4 88  1  0
 2  0      0 165568 1739216 3864032    0    0     0     0 1442 4751  5  3 92  0  0
 0  0      0 161404 1739244 3867532    0    0     0   768 1846 8113  7  5 88  0  0
 0  0      0 162272 1739244 3866196    0    0     0     0 1904 5637  9  3 88  0  0
 0  0      0 147220 1739244 3881696    0    0     0     0 1946 6580 11  4 85  0  0
 0  0      0 151808 1739312 3877616    0    0     0   904 2185 6855 15  5 72  8  0
 0  0      0 156892 1739312 3870908    0    0     0     0 1277 3515  6  2 93  0  0
 0  2      0 158380 1739404 3870504    0    0     0   708 2006 7722 14  5 79  2  0
 0  0      0 158256 1739408 3870512    0    0     0    12 2384 9655 16  6 77  2  0
 0  0      0 157776 1739520 3870836    0    0     0   320 2393 8688 15  7 66 12  0
 2  0      0 158636 1739520 3870224    0    0     0     0 2730 9774 19  8 73  0  0
 1  2      0 149600 1739564 3878544    0    0     0   612 3501 18313 31 10 58  1  0
 0  0      0 152092 1739568 3874888    0    0     0    12 1552 4518  5  4 90  1  0
 0  0      0 155372 1739568 3872796    0    0     0     0 1324 4868  6  2 92  0  0
